lr: 0.05
batch_size: 256
txt_file_name: ./preparing_clip/pth/cifar100_a_photo_of_label.pth
Epoch: [0][0/196]	 loss 35.03744	 loss_align: 27.8351 loss_distill: 7.2024 
Epoch: [0][5/196]	 loss 29.30015	 loss_align: 20.8800 loss_distill: 8.4202 
Epoch: [0][10/196]	 loss 28.11212	 loss_align: 20.0201 loss_distill: 8.0920 
Epoch: [0][15/196]	 loss 26.83419	 loss_align: 18.6243 loss_distill: 8.2099 
Epoch: [0][20/196]	 loss 24.76662	 loss_align: 17.0395 loss_distill: 7.7271 
Epoch: [0][25/196]	 loss 22.27040	 loss_align: 15.0626 loss_distill: 7.2078 
Epoch: [0][30/196]	 loss 18.55763	 loss_align: 12.9482 loss_distill: 5.6094 
Epoch: [0][35/196]	 loss 15.39969	 loss_align: 10.1376 loss_distill: 5.2621 
Epoch: [0][40/196]	 loss 12.49402	 loss_align: 7.3348 loss_distill: 5.1592 
Epoch: [0][45/196]	 loss 10.44671	 loss_align: 5.2803 loss_distill: 5.1664 
Epoch: [0][50/196]	 loss 8.86108	 loss_align: 3.8240 loss_distill: 5.0371 
Epoch: [0][55/196]	 loss 8.04303	 loss_align: 2.9663 loss_distill: 5.0768 
Epoch: [0][60/196]	 loss 7.42717	 loss_align: 2.5731 loss_distill: 4.8541 
Epoch: [0][65/196]	 loss 7.03441	 loss_align: 2.0533 loss_distill: 4.9811 
Epoch: [0][70/196]	 loss 6.84430	 loss_align: 1.9475 loss_distill: 4.8968 
Epoch: [0][75/196]	 loss 6.68692	 loss_align: 1.8556 loss_distill: 4.8313 
Epoch: [0][80/196]	 loss 6.52686	 loss_align: 1.7410 loss_distill: 4.7858 
Epoch: [0][85/196]	 loss 6.44212	 loss_align: 1.7497 loss_distill: 4.6924 
Epoch: [0][90/196]	 loss 6.22445	 loss_align: 1.5200 loss_distill: 4.7044 
Epoch: [0][95/196]	 loss 5.94354	 loss_align: 1.5050 loss_distill: 4.4385 
Epoch: [0][100/196]	 loss 6.34980	 loss_align: 1.6792 loss_distill: 4.6706 
Epoch: [0][105/196]	 loss 6.35420	 loss_align: 1.6361 loss_distill: 4.7181 
Epoch: [0][110/196]	 loss 6.50345	 loss_align: 1.7376 loss_distill: 4.7659 
Epoch: [0][115/196]	 loss 6.32465	 loss_align: 1.6417 loss_distill: 4.6829 
Epoch: [0][120/196]	 loss 6.11887	 loss_align: 1.5914 loss_distill: 4.5275 
Epoch: [0][125/196]	 loss 5.96783	 loss_align: 1.2969 loss_distill: 4.6709 
Epoch: [0][130/196]	 loss 5.89824	 loss_align: 1.5205 loss_distill: 4.3778 
Epoch: [0][135/196]	 loss 5.61712	 loss_align: 1.2179 loss_distill: 4.3992 
Epoch: [0][140/196]	 loss 5.71456	 loss_align: 1.2541 loss_distill: 4.4605 
Epoch: [0][145/196]	 loss 5.67161	 loss_align: 1.1916 loss_distill: 4.4800 
Epoch: [0][150/196]	 loss 5.54439	 loss_align: 1.0306 loss_distill: 4.5138 
Epoch: [0][155/196]	 loss 5.48714	 loss_align: 0.9857 loss_distill: 4.5014 
Epoch: [0][160/196]	 loss 5.04476	 loss_align: 0.9743 loss_distill: 4.0704 
Epoch: [0][165/196]	 loss 4.98343	 loss_align: 0.9155 loss_distill: 4.0679 
Epoch: [0][170/196]	 loss 4.88446	 loss_align: 0.8148 loss_distill: 4.0697 
Epoch: [0][175/196]	 loss 4.84018	 loss_align: 0.6446 loss_distill: 4.1956 
Epoch: [0][180/196]	 loss 4.53849	 loss_align: 0.7851 loss_distill: 3.7534 
Epoch: [0][185/196]	 loss 4.51984	 loss_align: 0.6075 loss_distill: 3.9124 
Epoch: [0][190/196]	 loss 4.51929	 loss_align: 0.6332 loss_distill: 3.8861 
Epoch: [0][195/196]	 loss 1.71195	 loss_align: 0.1721 loss_distill: 1.5398 
Train Epoch: 0 Avg Loss: 9.8184 Batch_size: 256 lr: 0.04991386 txt_file: ./preparing_clip/pth/cifar100_a_photo_of_label.pth n_ctx:40
Epoch: [1][0/196]	 loss 4.02551	 loss_align: 0.4700 loss_distill: 3.5555 
Epoch: [1][5/196]	 loss 4.14447	 loss_align: 0.4617 loss_distill: 3.6828 
Epoch: [1][10/196]	 loss 4.19810	 loss_align: 0.5189 loss_distill: 3.6792 
Epoch: [1][15/196]	 loss 4.32104	 loss_align: 0.5569 loss_distill: 3.7642 
Epoch: [1][20/196]	 loss 3.95583	 loss_align: 0.5245 loss_distill: 3.4314 
Epoch: [1][25/196]	 loss 3.88583	 loss_align: 0.4423 loss_distill: 3.4435 
Epoch: [1][30/196]	 loss 3.95721	 loss_align: 0.3782 loss_distill: 3.5790 
Epoch: [1][35/196]	 loss 3.94187	 loss_align: 0.4706 loss_distill: 3.4713 
